source_document_id,target_document_id,edge_type
ADR-0001,UDQ-UI-ARCH-001,depends_on
ADR-0001,UDQ-UI-MOD-001,depends_on
ADR-0002,UDQ-IMP-GUIDE-001,depends_on
ADR-0002,UDQ-REQ-MAT-001,depends_on
ADR-0003,UDQ-GOV-STD-003,depends_on
ADR-0003,UDQ-IMP-MAP-001,depends_on
ADR-0004,UDQ-AUD-SPEC-001,depends_on
ADR-0004,UDQ-GOV-SPEC-004,depends_on
ADR-0005,UDQ-DEV-SPEC-001,depends_on
ADR-0005,UDQ-LIFECYCLE-SPEC-001,depends_on
ADR-0006,UDQ-LIFECYCLE-SPEC-001,depends_on
ADR-0006,UDQ-LOG-SPEC-001,depends_on
ADR-0007,UDQ-GOV-WI-001,depends_on
ADR-0007,UDQ-IMP-PLAN-001,depends_on
ADR-0008,UDQ-LIFECYCLE-SPEC-001,depends_on
ADR-0008,UDQ-UI-DEVFLOW-001,depends_on
UDQ-ARCH-NAR-001,UDQ-GOV-STD-001,depends_on
UDQ-ARCH-NAR-001,UDQ-UI-ARCH-001,depends_on
UDQ-ARCH-NAR-001,UDQ-UI-MOD-001,depends_on
UDQ-ARCH-NAR-001,UDQ-UI-NAR-001,depends_on
UDQ-ARCH-NAR-002,UDQ-ARCH-NAR-001,depends_on
UDQ-ARCH-NAR-002,UDQ-GOV-STD-001,depends_on
UDQ-ARCH-NAR-002,UDQ-UI-ARCH-001,depends_on
UDQ-ARCH-NAR-002,UDQ-UI-MOD-001,depends_on
UDQ-ARCH-NAR-002,UDQ-UI-NAR-001,depends_on
UDQ-AUD-CHK-001,UDQ-AUD-SPEC-001,depends_on
UDQ-AUD-CHK-001,UDQ-AUD-SPEC-002,depends_on
UDQ-AUD-CHK-001,UDQ-GOV-LOG-001,depends_on
UDQ-AUD-CHK-001,UDQ-QUAL-SPEC-002,depends_on
UDQ-AUD-SPEC-001,UDQ-AUD-SPEC-002,depends_on
UDQ-AUD-SPEC-001,UDQ-GOV-LOG-001,depends_on
UDQ-AUD-SPEC-001,UDQ-GOV-REG-001,depends_on
UDQ-AUD-SPEC-001,UDQ-GOV-REG-002,depends_on
UDQ-AUD-SPEC-001,UDQ-GOV-SPEC-002,depends_on
UDQ-AUD-SPEC-001,UDQ-GOV-SPEC-003,depends_on
UDQ-AUD-SPEC-001,UDQ-GOV-SPEC-004,depends_on
UDQ-AUD-SPEC-001,UDQ-GOV-SPEC-005,depends_on
UDQ-AUD-SPEC-001,UDQ-GOV-SPEC-006,depends_on
UDQ-AUD-SPEC-001,UDQ-GOV-STD-001,depends_on
UDQ-AUD-SPEC-001,UDQ-GOV-STD-002,depends_on
UDQ-AUD-SPEC-001,UDQ-GOV-STD-003,depends_on
UDQ-AUD-SPEC-001,UDQ-IMP-SPEC-002,depends_on
UDQ-AUD-SPEC-001,UDQ-REL-SPEC-001,depends_on
UDQ-AUD-SPEC-001,UDQ-REQ-MAT-001,depends_on
UDQ-AUD-SPEC-002,UDQ-AUD-SPEC-001,depends_on
UDQ-AUD-SPEC-002,UDQ-GOV-SPEC-002,depends_on
UDQ-AUD-SPEC-002,UDQ-GOV-STD-001,depends_on
UDQ-AUD-SPEC-002,UDQ-REL-SPEC-001,depends_on
UDQ-AUD-TPL-001,UDQ-AUD-SPEC-001,depends_on
UDQ-AUD-TPL-001,UDQ-GOV-SPEC-002,depends_on
UDQ-AUD-TPL-001,UDQ-REL-SPEC-001,depends_on
UDQ-AUD-TPL-001,UDQ-SCM-STD-001,depends_on
UDQ-AUD-TPL-002,UDQ-AUD-SPEC-002,depends_on
UDQ-AUD-TPL-002,UDQ-GOV-SPEC-002,depends_on
UDQ-DEV-SPEC-001,UDQ-DIAG-SPEC-001,depends_on
UDQ-DEV-SPEC-001,UDQ-GOV-STD-001,depends_on
UDQ-DEV-SPEC-001,UDQ-OUT-SPEC-001,depends_on
UDQ-DEV-SPEC-001,UDQ-PROT-SPEC-001,depends_on
UDQ-DEV-SPEC-001,UDQ-SIG-SPEC-001,depends_on
UDQ-DIAG-SPEC-001,UDQ-GOV-STD-001,depends_on
UDQ-DIAG-SPEC-001,UDQ-HIS-SPEC-001,depends_on
UDQ-DIAG-SPEC-001,UDQ-PROT-SPEC-001,depends_on
UDQ-DIAG-SPEC-001,UDQ-REM-SPEC-001,depends_on
UDQ-DIAG-SPEC-001,UDQ-UI-MOD-001,depends_on
UDQ-EVT-SPEC-001,UDQ-GOV-GLO-001,depends_on
UDQ-EVT-SPEC-001,UDQ-GOV-STD-001,depends_on
UDQ-EVT-SPEC-001,UDQ-GOV-STD-002,depends_on
UDQ-EVT-SPEC-001,UDQ-HIS-SPEC-001,depends_on
UDQ-EVT-SPEC-001,UDQ-OUT-SPEC-001,depends_on
UDQ-EVT-SPEC-001,UDQ-REM-SPEC-001,depends_on
UDQ-EVT-SPEC-001,UDQ-UI-MOD-001,depends_on
UDQ-EXM-SPEC-001,UDQ-EVT-SPEC-001,depends_on
UDQ-EXM-SPEC-001,UDQ-GOV-GLO-001,depends_on
UDQ-EXM-SPEC-001,UDQ-GOV-SPEC-005,depends_on
UDQ-EXM-SPEC-001,UDQ-GOV-STD-002,depends_on
UDQ-EXM-SPEC-001,UDQ-OUT-SPEC-001,depends_on
UDQ-EXM-SPEC-001,UDQ-PROF-SPEC-001,depends_on
UDQ-EXM-SPEC-001,UDQ-REQ-MAT-001,depends_on
UDQ-EXM-SPEC-001,UDQ-UI-SPEC-004,depends_on
UDQ-EXP-SPEC-001,UDQ-AUD-SPEC-001,depends_on
UDQ-EXP-SPEC-001,UDQ-GOV-STD-001,depends_on
UDQ-EXP-SPEC-001,UDQ-HIS-SPEC-001,depends_on
UDQ-EXP-SPEC-001,UDQ-REL-SPEC-001,depends_on
UDQ-EXP-SPEC-001,UDQ-SCM-STD-001,depends_on
UDQ-GAP-RPT-001,UDQ-ARCH-NAR-001,depends_on
UDQ-GAP-RPT-001,UDQ-ARCH-NAR-002,depends_on
UDQ-GAP-RPT-001,UDQ-AUD-SPEC-001,depends_on
UDQ-GAP-RPT-001,UDQ-AUD-SPEC-002,depends_on
UDQ-GAP-RPT-001,UDQ-GOV-REG-001,depends_on
UDQ-GAP-RPT-001,UDQ-GOV-REG-002,depends_on
UDQ-GAP-RPT-001,UDQ-GOV-RPT-001,depends_on
UDQ-GAP-RPT-001,UDQ-GOV-RPT-002,depends_on
UDQ-GAP-RPT-001,UDQ-GOV-SPEC-003,depends_on
UDQ-GAP-RPT-001,UDQ-IMP-PLAN-001,depends_on
UDQ-GAP-RPT-001,UDQ-QUAL-DEF-001,depends_on
UDQ-GAP-RPT-001,UDQ-QUAL-SPEC-002,depends_on
UDQ-GAP-RPT-001,UDQ-REQ-MAT-001,depends_on
UDQ-GAP-RPT-001,UDQ-SCM-STD-001,depends_on
UDQ-GAP-TPL-001,UDQ-GAP-RPT-001,depends_on
UDQ-GAP-TPL-001,UDQ-GOV-SPEC-002,depends_on
UDQ-GAP-TPL-001,UDQ-QUAL-SPEC-002,depends_on
UDQ-GOV-GLO-001,UDQ-GOV-SPEC-002,depends_on
UDQ-GOV-GLO-001,UDQ-GOV-STD-001,depends_on
UDQ-GOV-GLO-001,UDQ-GOV-STD-002,depends_on
UDQ-GOV-LOG-001,UDQ-GOV-SPEC-002,depends_on
UDQ-GOV-LOG-001,UDQ-GOV-SPEC-003,depends_on
UDQ-GOV-LOG-001,UDQ-GOV-SPEC-006,depends_on
UDQ-GOV-LOG-001,UDQ-GOV-STD-001,depends_on
UDQ-GOV-LOG-001,UDQ-GOV-STD-002,depends_on
UDQ-GOV-LOG-001,UDQ-GOV-STD-003,depends_on
UDQ-GOV-LOG-001,UDQ-IMP-PLAN-001,depends_on
UDQ-GOV-LOG-001,UDQ-IMP-SPEC-002,depends_on
UDQ-GOV-MAP-001,UDQ-GOV-GLO-001,depends_on
UDQ-GOV-MAP-001,UDQ-GOV-SPEC-002,depends_on
UDQ-GOV-MAP-001,UDQ-GOV-SPEC-003,depends_on
UDQ-GOV-MAP-001,UDQ-GOV-SPEC-006,depends_on
UDQ-GOV-MAP-001,UDQ-GOV-STD-001,depends_on
UDQ-GOV-MAP-001,UDQ-GOV-STD-002,depends_on
UDQ-GOV-MAP-001,UDQ-GOV-STD-003,depends_on
UDQ-GOV-MAP-001,UDQ-IMP-MAP-001,depends_on
UDQ-GOV-POL-002,UDQ-GOV-SPEC-002,depends_on
UDQ-GOV-POL-002,UDQ-GOV-STD-001,depends_on
UDQ-GOV-POL-003,UDQ-GOV-POL-002,depends_on
UDQ-GOV-POL-003,UDQ-GOV-STD-001,depends_on
UDQ-GOV-REG-001,UDQ-GOV-GLO-001,depends_on
UDQ-GOV-REG-001,UDQ-GOV-RPT-001,depends_on
UDQ-GOV-REG-001,UDQ-GOV-STD-002,depends_on
UDQ-GOV-REG-001,UDQ-GOV-STD-003,depends_on
UDQ-GOV-REG-002,UDQ-GOV-RPT-001,depends_on
UDQ-GOV-REG-002,UDQ-GOV-RPT-002,depends_on
UDQ-GOV-REG-002,UDQ-GOV-STD-002,depends_on
UDQ-GOV-REG-002,UDQ-GOV-STD-003,depends_on
UDQ-GOV-REG-003,UDQ-GOV-LOG-001,depends_on
UDQ-GOV-REG-003,UDQ-GOV-SOP-001,depends_on
UDQ-GOV-REG-003,UDQ-GOV-STD-001,depends_on
UDQ-GOV-RPT-001,UDQ-GOV-GLO-001,depends_on
UDQ-GOV-RPT-001,UDQ-GOV-LOG-001,depends_on
UDQ-GOV-RPT-001,UDQ-GOV-MAP-001,depends_on
UDQ-GOV-RPT-001,UDQ-GOV-REG-001,depends_on
UDQ-GOV-RPT-001,UDQ-GOV-REG-002,depends_on
UDQ-GOV-RPT-001,UDQ-GOV-RPT-002,depends_on
UDQ-GOV-RPT-001,UDQ-GOV-SPEC-002,depends_on
UDQ-GOV-RPT-001,UDQ-GOV-SPEC-003,depends_on
UDQ-GOV-RPT-001,UDQ-GOV-SPEC-006,depends_on
UDQ-GOV-RPT-001,UDQ-GOV-STD-001,depends_on
UDQ-GOV-RPT-001,UDQ-GOV-STD-002,depends_on
UDQ-GOV-RPT-002,UDQ-GOV-GLO-001,depends_on
UDQ-GOV-RPT-002,UDQ-GOV-REG-001,depends_on
UDQ-GOV-RPT-002,UDQ-GOV-REG-002,depends_on
UDQ-GOV-RPT-002,UDQ-GOV-SPEC-003,depends_on
UDQ-GOV-RPT-002,UDQ-GOV-STD-002,depends_on
UDQ-GOV-RPT-002,UDQ-REQ-MAT-001,depends_on
UDQ-GOV-SOP-001,UDQ-GOV-POL-002,depends_on
UDQ-GOV-SOP-001,UDQ-GOV-REG-001,depends_on
UDQ-GOV-SOP-001,UDQ-GOV-REG-002,depends_on
UDQ-GOV-SOP-001,UDQ-GOV-REG-003,depends_on
UDQ-GOV-SOP-001,UDQ-GOV-SPEC-002,depends_on
UDQ-GOV-SOP-001,UDQ-GOV-SPEC-003,depends_on
UDQ-GOV-SOP-001,UDQ-GOV-SPEC-004,depends_on
UDQ-GOV-SOP-001,UDQ-GOV-SPEC-006,depends_on
UDQ-GOV-SOP-001,UDQ-GOV-STD-001,depends_on
UDQ-GOV-SOP-001,UDQ-GOV-STD-002,depends_on
UDQ-GOV-SOP-001,UDQ-GOV-TPL-002,depends_on
UDQ-GOV-SOP-001,UDQ-GOV-WI-001,depends_on
UDQ-GOV-SOP-002,UDQ-GOV-REG-003,depends_on
UDQ-GOV-SOP-002,UDQ-GOV-SOP-001,depends_on
UDQ-GOV-SOP-002,UDQ-GOV-STD-001,depends_on
UDQ-GOV-SOP-002,UDQ-GOV-WI-001,depends_on
UDQ-GOV-SPEC-002,UDQ-AUD-SPEC-001,depends_on
UDQ-GOV-SPEC-002,UDQ-AUD-SPEC-002,depends_on
UDQ-GOV-SPEC-002,UDQ-GOV-STD-001,depends_on
UDQ-GOV-SPEC-003,UDQ-GOV-GLO-001,depends_on
UDQ-GOV-SPEC-003,UDQ-GOV-MAP-001,depends_on
UDQ-GOV-SPEC-003,UDQ-GOV-STD-001,depends_on
UDQ-GOV-SPEC-003,UDQ-GOV-STD-002,depends_on
UDQ-GOV-SPEC-003,UDQ-GOV-STD-003,depends_on
UDQ-GOV-SPEC-003,UDQ-REQ-MAT-001,depends_on
UDQ-GOV-SPEC-004,UDQ-GOV-SPEC-003,depends_on
UDQ-GOV-SPEC-004,UDQ-IMP-PLAN-001,depends_on
UDQ-GOV-SPEC-004,UDQ-IMP-SPEC-002,depends_on
UDQ-GOV-SPEC-004,UDQ-QUAL-SPEC-002,depends_on
UDQ-GOV-SPEC-004,UDQ-REQ-MAT-001,depends_on
UDQ-GOV-SPEC-005,UDQ-EVT-SPEC-001,depends_on
UDQ-GOV-SPEC-005,UDQ-EXM-SPEC-001,depends_on
UDQ-GOV-SPEC-005,UDQ-GOV-GLO-001,depends_on
UDQ-GOV-SPEC-005,UDQ-GOV-SPEC-003,depends_on
UDQ-GOV-SPEC-005,UDQ-GOV-SPEC-004,depends_on
UDQ-GOV-SPEC-005,UDQ-IMP-SPEC-002,depends_on
UDQ-GOV-SPEC-005,UDQ-OUT-SPEC-001,depends_on
UDQ-GOV-SPEC-005,UDQ-PROF-SPEC-001,depends_on
UDQ-GOV-SPEC-005,UDQ-QUAL-SPEC-002,depends_on
UDQ-GOV-SPEC-005,UDQ-REQ-MAT-001,depends_on
UDQ-GOV-SPEC-005,UDQ-UI-SPEC-004,depends_on
UDQ-GOV-SPEC-006,UDQ-GOV-LOG-001,depends_on
UDQ-GOV-SPEC-006,UDQ-GOV-SPEC-003,depends_on
UDQ-GOV-SPEC-006,UDQ-GOV-SPEC-004,depends_on
UDQ-GOV-SPEC-006,UDQ-GOV-SPEC-005,depends_on
UDQ-GOV-SPEC-006,UDQ-REL-SPEC-001,depends_on
UDQ-GOV-SPEC-006,UDQ-REQ-MAT-001,depends_on
UDQ-GOV-STD-001,[,depends_on
UDQ-GOV-STD-001,],depends_on
UDQ-GOV-STD-002,UDQ-GOV-GLO-001,depends_on
UDQ-GOV-STD-002,UDQ-GOV-MAP-001,depends_on
UDQ-GOV-STD-002,UDQ-GOV-STD-001,depends_on
UDQ-GOV-STD-003,UDQ-GOV-SPEC-006,depends_on
UDQ-GOV-STD-003,UDQ-GOV-STD-001,depends_on
UDQ-GOV-STD-003,UDQ-GOV-STD-002,depends_on
UDQ-GOV-STD-003,UDQ-IMP-MAP-001,depends_on
UDQ-GOV-STD-003,UDQ-IMP-SPEC-002,depends_on
UDQ-GOV-STD-003,UDQ-REL-SPEC-001,depends_on
UDQ-GOV-TPL-001,UDQ-GOV-REG-003,depends_on
UDQ-GOV-TPL-001,UDQ-GOV-SOP-001,depends_on
UDQ-GOV-TPL-001,UDQ-GOV-TPL-002,depends_on
UDQ-GOV-TPL-001,UDQ-GOV-WI-001,depends_on
UDQ-GOV-TPL-002,UDQ-GOV-REG-003,depends_on
UDQ-GOV-TPL-002,UDQ-GOV-SOP-001,depends_on
UDQ-GOV-TPL-002,UDQ-GOV-WI-001,depends_on
UDQ-GOV-WI-001,UDQ-GOV-POL-002,depends_on
UDQ-GOV-WI-001,UDQ-GOV-REG-003,depends_on
UDQ-GOV-WI-001,UDQ-GOV-SOP-001,depends_on
UDQ-GOV-WI-001,UDQ-GOV-TPL-001,depends_on
UDQ-GOV-WI-001,UDQ-GOV-TPL-002,depends_on
UDQ-HIS-SPEC-001,UDQ-ARCH-NAR-001,depends_on
UDQ-HIS-SPEC-001,UDQ-ARCH-NAR-002,depends_on
UDQ-HIS-SPEC-001,UDQ-GOV-GLO-001,depends_on
UDQ-HIS-SPEC-001,UDQ-GOV-STD-002,depends_on
UDQ-HIS-SPEC-001,UDQ-OUT-SPEC-001,depends_on
UDQ-HIS-SPEC-001,UDQ-QUAL-DEF-001,depends_on
UDQ-HIS-SPEC-001,UDQ-REQ-MAT-001,depends_on
UDQ-HIS-SPEC-001,UDQ-SEQ-SPEC-001,depends_on
UDQ-HIS-SPEC-001,UDQ-SIG-SPEC-001,depends_on
UDQ-HIS-SPEC-001,UDQ-UI-ARCH-001,depends_on
UDQ-HIS-SPEC-001,UDQ-UI-MOD-001,depends_on
UDQ-HIS-SPEC-001,UDQ-UI-NAR-001,depends_on
