source_type,source_id,edge_type,target_type,target_id
document,UDQ-ARCH-NAR-001,depends_on,document,UDQ-GOV-STD-001
document,UDQ-ARCH-NAR-001,depends_on,document,UDQ-UI-ARCH-001
document,UDQ-ARCH-NAR-001,depends_on,document,UDQ-UI-MOD-001
document,UDQ-ARCH-NAR-001,depends_on,document,UDQ-UI-NAR-001
document,UDQ-ARCH-NAR-002,depends_on,document,UDQ-ARCH-NAR-001
document,UDQ-ARCH-NAR-002,depends_on,document,UDQ-GOV-STD-001
document,UDQ-ARCH-NAR-002,depends_on,document,UDQ-UI-ARCH-001
document,UDQ-ARCH-NAR-002,depends_on,document,UDQ-UI-MOD-001
document,UDQ-ARCH-NAR-002,depends_on,document,UDQ-UI-NAR-001
document,UDQ-AUD-CHK-001,depends_on,document,UDQ-AUD-SPEC-001
document,UDQ-AUD-CHK-001,depends_on,document,UDQ-AUD-SPEC-002
document,UDQ-AUD-CHK-001,depends_on,document,UDQ-GOV-LOG-001
document,UDQ-AUD-CHK-001,depends_on,document,UDQ-QUAL-SPEC-002
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-SPEC-003
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-SPEC-004
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-SPEC-005
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-SPEC-006
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-REQ-MAT-001
document,UDQ-AUD-SPEC-002,depends_on,document,UDQ-GOV-STD-001
document,UDQ-AUD-SPEC-002,depends_on,document,UDQ-GOV-SPEC-002
document,UDQ-AUD-SPEC-002,depends_on,document,UDQ-AUD-SPEC-001
document,UDQ-AUD-SPEC-002,depends_on,document,UDQ-REL-SPEC-001
document,UDQ-AUD-TPL-001,depends_on,document,UDQ-AUD-SPEC-001
document,UDQ-AUD-TPL-001,depends_on,document,UDQ-REL-SPEC-001
document,UDQ-AUD-TPL-001,depends_on,document,UDQ-SCM-STD-001
document,UDQ-AUD-TPL-001,depends_on,document,UDQ-GOV-SPEC-002
document,UDQ-AUD-TPL-002,depends_on,document,UDQ-AUD-SPEC-002
document,UDQ-AUD-TPL-002,depends_on,document,UDQ-GOV-SPEC-002
document,UDQ-DEV-SPEC-001,depends_on,document,UDQ-DIAG-SPEC-001
document,UDQ-DEV-SPEC-001,depends_on,document,UDQ-GOV-STD-001
document,UDQ-DEV-SPEC-001,depends_on,document,UDQ-OUT-SPEC-001
document,UDQ-DEV-SPEC-001,depends_on,document,UDQ-PROT-SPEC-001
document,UDQ-DEV-SPEC-001,depends_on,document,UDQ-SIG-SPEC-001
